Country,Imports [Percent of GDP] 2016,Income per person [GDP per person] 2020,Exports [Percent of GDP] 2016,CO2 emissions [Tonnes per Person] 2014,Energy production [Tonnes of oil equivalent per Person] 2009,Inflation annual [Percent] 2017,Life expectancy [Years] 2018,Babies per woman 2018,Democracy score 2011,Median age [Years] 2020,Military expenditure [Percent of GDP] 2016,Oil production [Tonnes] 2016,Child mortality [0-5 year olds dying per 1000 born] 2018
Panama,45.9,25600.0,41.4,2.25,0.00018999999999999998,1.51,79.4,2.46,9.0,29.7,,,15.9
Papua New Guinea,,2850.0,,0.815,,5.51,61.1,3.56,4.0,22.6,0.588,,53.3
Paraguay,39.5,9700.0,41.7,0.87,0.00117,5.54,74.8,2.43,8.0,26.5,1.26,,20.1
Peru,22.8,13400.0,22.4,1.99,0.00053,3.94,80.2,2.34,9.0,29.1,1.32,5580000.0,14.3
Philippines,36.9,8750.0,28.0,1.06,0.00026000000000000003,2.32,70.5,2.86,8.0,25.2,1.22,,26.0
Poland,48.2,29400.0,52.3,7.46,0.0017699999999999999,2.01,78.2,1.29,10.0,41.8,1.95,,4.58
Portugal,39.0,28800.0,40.1,4.3,0.00045999999999999996,1.37,81.3,1.24,10.0,46.2,1.74,,2.53
Qatar,41.6,124000.0,47.5,45.4,0.0876,8.21,80.7,1.87,-10.0,31.9,,79400000.0,7.98
Romania,42.2,25300.0,41.3,3.5,0.00131,5.28,75.5,1.54,9.0,43.0,1.41,3800000.0,8.47
Russia,20.5,25600.0,25.7,11.9,0.00826,5.21,71.1,1.76,4.0,39.6,5.5,554000000.0,7.33
Rwanda,33.1,2110.0,14.9,0.07400000000000001,,7.32,68.3,3.74,-4.0,20.3,0.978,,36.6
Samoa,49.9,6090.0,29.3,1.03,,1.25,72.4,3.88,,22.0,,,16.7
San Marino,,40300.0,,,,1.11,,,,,,,
Sao Tome and Principe,,3390.0,,0.594,,4.72,70.9,4.33,,18.7,,,33.8
Saudi Arabia,30.7,49500.0,31.1,19.5,0.0197,6.82,77.6,2.45,-10.0,31.9,9.91,586000000.0,12.0
Senegal,43.9,2780.0,29.0,0.609,0.0001,2.51,66.8,4.62,7.0,18.7,2.08,,42.9
Serbia,57.5,16100.0,50.0,4.24,0.0009599999999999999,2.84,76.2,1.62,8.0,41.2,1.88,,5.7
Seychelles,,29000.0,,5.31,,2.36,74.2,2.25,,36.2,1.55,,12.7
Sierra Leone,54.5,1660.0,24.9,0.185,,14.7,60.0,4.26,7.0,19.1,0.821,,109.0
Singapore,142.0,86500.0,168.0,10.3,0.00001,0.87,84.0,1.26,-2.0,42.4,3.33,,2.52
Slovak Republic,91.1,33600.0,94.6,5.65,0.00109,1.28,77.2,1.47,10.0,41.2,1.12,,5.65
Slovenia,68.5,32100.0,77.7,6.19,0.00175,1.98,81.1,1.65,10.0,44.5,1.0,,2.17
Solomon Islands,,2140.0,,0.35,,1.64,63.6,3.74,8.0,20.8,,,23.4
Somalia,62.2,633.0,15.1,0.045,,,58.0,6.08,,16.8,,,126.0
South Africa,30.1,12400.0,30.7,8.98,0.00323,5.54,63.5,2.4,9.0,27.3,1.08,,39.8
South Korea,35.4,38700.0,42.3,11.7,0.0009199999999999999,2.27,81.3,1.33,8.0,43.4,2.62,,3.08
South Sudan,61.7,1850.0,54.9,0.13,,,60.7,4.7,,19.2,3.81,5840000.0,85.4
Spain,29.9,36300.0,32.9,5.03,0.00065,0.955,83.2,1.39,10.0,45.5,1.13,,3.02
Sri Lanka,28.7,13500.0,21.3,0.892,0.00025,8.24,77.8,2.02,4.0,34.1,2.14,,8.61
St. Kitts and Nevis,56.5,26700.0,57.0,4.3,,2.18,,,,,,,
St. Lucia,,11000.0,,2.31,,0.0221,76.6,1.44,,34.9,,,12.4
St. Vincent and the Grenadines,54.0,12000.0,37.3,1.91,,1.52,72.0,1.89,,31.8,,,16.3
Sudan,12.5,4520.0,9.83,0.40700000000000003,0.0008300000000000001,32.9,68.8,4.41,-2.0,19.7,2.49,5120000.0,63.1
Suriname,54.3,13300.0,49.8,3.63,,21.8,71.6,2.32,5.0,29.6,,,19.2
Swaziland,52.7,7490.0,49.5,0.929,,5.3,58.6,2.98,-9.0,21.5,1.6,,60.5
Sweden,39.4,48300.0,44.3,4.48,0.0032600000000000003,2.09,82.4,1.91,10.0,41.0,1.06,,2.57
Switzerland,54.6,57600.0,65.8,4.29,0.00168,0.354,83.5,1.55,10.0,43.1,0.684,,3.75
Syria,,2910.0,,1.6,0.00118,,69.8,2.82,-7.0,21.7,,1100000.0,17.6
Tajikistan,42.8,3090.0,13.3,0.62,0.00022,4.72,72.2,3.27,-3.0,23.3,,,41.4
Tanzania,22.7,3000.0,19.6,0.221,0.00041,5.07,65.5,4.89,-1.0,17.7,1.14,,54.2
Thailand,53.5,18200.0,68.1,4.62,0.0009,2.31,78.2,1.45,7.0,40.1,1.44,17600000.0,11.4
Timor-Leste,37.0,1110.0,2.28,0.387,,27.4,73.3,5.28,7.0,18.0,0.9390000000000001,,44.5
Togo,62.8,1580.0,42.8,0.363,0.00037,1.97,63.1,4.32,-2.0,19.4,1.93,,73.2
Tonga,68.1,5590.0,21.3,1.14,,3.1,70.7,3.56,,22.3,,,16.1
Trinidad and Tobago,,31200.0,,34.2,0.0329,3.04,73.4,1.73,10.0,36.2,0.925,4320000.0,18.0
Tunisia,51.1,12500.0,40.4,2.59,0.00075,5.73,78.0,2.15,,32.7,2.35,2900000.0,12.6
Turkey,24.9,26200.0,22.0,4.49,0.00042,10.8,79.6,2.02,9.0,31.6,2.08,,11.9
Turkmenistan,,20100.0,,12.5,0.00821,9.92,70.5,2.79,-9.0,26.9,,12700000.0,50.1
Tuvalu,,3580.0,,1.01,,1.4,,,,,,,
Uganda,28.6,1930.0,18.6,0.135,,5.99,62.9,5.41,-1.0,16.4,2.06,,52.3
Ukraine,55.5,9040.0,49.3,5.06,0.00168,22.1,72.3,1.56,6.0,41.4,3.67,,8.52
United Arab Emirates,75.7,69400.0,101.0,23.3,0.0243,6.31,76.9,1.72,-8.0,34.0,,182000000.0,7.12
United Kingdom,30.3,41300.0,28.3,6.46,0.0025800000000000003,1.96,81.2,1.87,10.0,40.8,1.84,47500000.0,4.21
United States,14.7,56500.0,11.9,16.5,0.00548,1.8,79.1,1.9,10.0,38.3,3.22,543000000.0,6.06
Uruguay,19.9,22600.0,21.4,1.97,0.00045,4.02,77.6,1.97,10.0,35.6,1.88,,8.58
Uzbekistan,20.7,7410.0,18.9,3.45,0.00224,19.0,70.5,2.23,-9.0,28.2,,2580000.0,24.3
Vanuatu,,2930.0,,0.595,,2.57,64.3,3.2,,23.1,,,26.0
Venezuela,,13600.0,,6.03,0.0071400000000000005,,75.9,2.27,-3.0,29.0,0.45399999999999996,124000000.0,15.4
Vietnam,91.1,7210.0,93.6,1.8,0.00088,4.12,74.9,1.95,-7.0,32.6,2.44,16000000.0,20.2
Yemen,30.0,2560.0,3.58,0.865,0.00065,,67.1,3.79,-2.0,20.3,,780000.0,51.9
Zambia,38.6,4110.0,35.3,0.28800000000000003,0.00057,9.24,59.5,4.87,7.0,17.7,1.45,,59.5
Zimbabwe,38.7,2050.0,24.7,0.78,0.0006799999999999999,3.8,60.2,3.61,1.0,19.6,2.2,,55.5
